task_id,title,description,type_of_task,priority_level,due_date
031a42d2-66dd-4776-a9f4-d0c01351be96,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,General Specification,High,2025-04-17
ae66faa4-451f-4a96-83ca-2449e7d6bc22,Structural Coordination,Coordinate with the structural engineer for beam placements.,Finish Schedule,Low,2025-04-27
cff5eab2-cd44-4a43-a1f7-649a3d4056fe,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Door & Window Schedule,Low,2025-04-04
1299297c-8c87-4e07-96ea-2321e8fc0317,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Partition Plan,High,2025-05-02
c370cbe1-21ea-4c77-ae65-474fa0531726,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Elevation Drawing,Neutral,2025-04-29
327f7866-3bbd-4f2e-ba38-858ec22d27d2,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Furniture Layout Plan,High,2025-04-20
078c8941-f4a8-4e22-9331-7cd607ede1b4,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Material Board,Neutral,2025-04-29
6e3a36b8-a42c-43ef-b137-ec1df56b3b10,Construction Documentation,Compile detailed construction drawings for city permit approval.,Floor Plan,High,2025-04-06
7a26849c-f287-41aa-909b-5297b605966c,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Floor Plan,Low,2025-04-20
9f80e4fb-ef9b-4933-9f36-420a3b176e89,Technical Specifications,Compile technical specifications for the construction phase.,Interior Layout Plan,High,2025-04-11
2a583ed5-4c83-49d2-b9d4-e7e5b0a431b8,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Roof Plan,High,2025-04-29
fc4fcc58-06d3-40a7-83aa-fb57b03510b8,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Zoning & Building Code Compliance,Low,2025-04-16
a171665b-60ff-4b66-aec7-100c87315d55,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Partition Plan,Neutral,2025-04-17
436fa7aa-b29d-4d32-b95a-88c8e20b809e,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Elevation Drawing,High,2025-04-13
ae347ca8-abf0-4eaa-ac84-2270279ce7bb,Technical Specifications,Compile technical specifications for the construction phase.,Elevation Drawing,Neutral,2025-04-06
0103f599-7211-4174-9932-1c75140ee67a,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,3D Model,High,2025-04-23
cb0b797b-e611-4baa-a23e-38ac62e87a90,Technical Specifications,Compile technical specifications for the construction phase.,Zoning & Building Code Compliance,Low,2025-04-25
1b14edd8-a07b-40f9-aeaa-14860eb500df,Technical Specifications,Compile technical specifications for the construction phase.,Site Plan,High,2025-04-09
398382b5-c12e-437e-b5fe-3fd3732137f1,Construction Documentation,Compile detailed construction drawings for city permit approval.,Lighting & Fixture Plan,Neutral,2025-04-26
7d017fea-4e54-44a7-9989-276090497f6e,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Reflected Ceiling Plan,Neutral,2025-04-20
f0d1cc98-dc56-4a1d-bfd4-bb31cf26a966,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Hardscape Plan,Low,2025-04-15
0a12d918-eaa8-4f7b-ba18-079f6b0af2f8,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Lighting & Fixture Plan,Low,2025-04-17
5ebdf526-3baf-4dee-97ba-998cfc2f14ea,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Roof Plan,High,2025-04-07
e6dcf70d-2627-45cf-b3a6-ac461e0e790d,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Others,Neutral,2025-04-23
88b192be-97da-47ef-a44b-0ee4633d09da,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Lighting & Fixture Plan,High,2025-05-03
86f8b0cd-03fd-437c-9731-a453a22496bd,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,General Specification,High,2025-04-10
4bfcd156-7beb-49cc-83ef-9ca00a98dff0,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Lighting & Fixture Plan,Low,2025-04-11
c740dc69-6860-4e9e-8ca3-99ce5d4d7119,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Door & Window Schedule,High,2025-04-08
a4763353-0c08-43f6-808b-3626d398c62d,Structural Coordination,Coordinate with the structural engineer for beam placements.,Virtual Reality,High,2025-04-29
0de82285-8378-48f8-9fe6-bea7bae8facc,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Landscape Plan,Low,2025-04-11
dc18e811-25fa-4c1a-b21b-1757d3242ce8,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Others,Neutral,2025-04-08
bacf36c4-ba40-4125-9cb6-05434f298340,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Technical Specification,High,2025-04-18
1a885c88-49bd-4b10-b548-990f773e9e18,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Floor Plan,Low,2025-04-10
b86ce971-6328-4b5f-a5bd-3975f589b89a,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Section Drawing,High,2025-04-19
59ee98b0-d55b-4cce-a4ee-e547155656c9,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Interior Layout Plan,High,2025-04-27
de21204d-d72e-48df-aa2b-cfb11d0e7ace,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Section Drawing,High,2025-04-15
130ce6ce-9d4b-4f25-9024-39f13bedc94a,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Section Drawing,Neutral,2025-04-29
12c72524-5d21-4a43-88a3-1fe68e137b2d,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Furniture Layout Plan,Low,2025-04-17
655e636e-e185-435c-9bb3-26fd6153b800,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,3D Render,High,2025-05-02
69be77b7-c302-431f-a750-7bbda529c31c,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Reflected Ceiling Plan,High,2025-04-16
17621130-e979-4d29-9109-1f43ee7b3e0f,Technical Specifications,Compile technical specifications for the construction phase.,Material Board,High,2025-04-20
1fa99398-0444-44f6-bd79-22009780522b,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Others,Low,2025-04-12
8333f30b-688d-454d-9d5d-ff66d0fc946d,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Schematic Design,Neutral,2025-05-03
fa0acfe7-5d8d-4db1-94e3-713867abdb1d,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Floor Plan,Low,2025-04-12
1da86869-0545-41ee-a6a6-3a4aeab52c52,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,3D Model,Neutral,2025-04-25
a13b9357-a1bc-443d-81af-62f7a4ada68f,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Permit Drawing,High,2025-04-30
e933feb7-385a-44f1-a302-3eb04e5ae7ba,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Hardscape Plan,High,2025-04-10
5fc62386-ebe9-4f9f-afba-df53a00f17ee,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Zoning & Building Code Compliance,Low,2025-04-24
b7715449-060c-4886-819a-137c64ddd0be,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Section Drawing,Neutral,2025-04-19
fcf8e2b3-00eb-44d8-8e28-7ee5b2234020,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Roof Plan,Low,2025-04-19
1b82f694-90e1-46ef-bc8b-1781ebe107c9,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Material Board,Low,2025-04-30
b7b808e5-5ec6-470a-8b46-02c7643951d0,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Schematic Design,Neutral,2025-04-13
14adbccd-d9fd-4cac-99ef-da0de3162331,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Hardscape Plan,Neutral,2025-04-23
18a3acd5-fcc8-4d11-83ac-0929033bd2b2,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Roof Plan,High,2025-04-07
8cc22577-be08-4af8-b13c-a9696e0ebe35,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Zoning & Building Code Compliance,Low,2025-04-17
7e1e6f86-0c41-4ff3-9d55-49a294abb686,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Partition Plan,Neutral,2025-05-02
b828e342-f758-48fb-b7b4-a3732772a573,Structural Coordination,Coordinate with the structural engineer for beam placements.,Custom Millwork & Joinery Drawing,High,2025-04-24
592d9899-a669-4c9a-863e-8963b741a1db,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Door & Window Schedule,Neutral,2025-04-04
899973a5-8699-4c1b-bca3-37c5212d0522,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Landscape Plan,Low,2025-04-20
65c96af2-e51e-4583-813b-4557bc505353,Construction Documentation,Compile detailed construction drawings for city permit approval.,Floor Plan,Neutral,2025-04-25
50d07404-5f93-4076-8fe8-067208bcb68e,Technical Specifications,Compile technical specifications for the construction phase.,Roof Plan,High,2025-04-14
14b767fc-13ec-4f84-ba0f-4a823dee7d88,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Permit Drawing,Low,2025-04-12
49cf33fb-0474-4240-9058-b322f048fb4a,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Door & Window Schedule,Low,2025-05-03
dd931b9a-e88a-4a5b-99c2-95d16b46dbb3,Construction Documentation,Compile detailed construction drawings for city permit approval.,Permit Drawing,Neutral,2025-04-06
b2d53e3f-4a20-4cee-bcb6-ede3bf83c787,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Floor Plan,High,2025-04-21
26c4c6af-9ebe-4894-a412-31abdcbf1119,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Floor Plan,Low,2025-04-13
186d9f7b-7598-4308-800d-808bcc82df68,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Door & Window Schedule,High,2025-04-06
94090ff0-2efd-448f-a33b-b69c47e2b597,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,3D Model,Neutral,2025-04-18
49447d03-08ca-4f75-aa25-e500a40df08a,Construction Documentation,Compile detailed construction drawings for city permit approval.,Others,High,2025-04-05
595d5299-b4f7-49e1-bb09-224bea0a3952,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Interior Layout Plan,Low,2025-04-25
1c0af332-c6ea-4eec-af1c-3779ae29fe5b,Landscape Design Refinement,Enhance the planting layout for the residential garden.,3D Model,High,2025-04-24
daf39079-473e-49c9-a8d0-285f3e3301ef,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Hardscape Plan,Low,2025-04-05
29ea67e2-3ce6-49ae-b04a-c4a13b0dba76,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Door & Window Schedule,Neutral,2025-04-28
2b91b88a-1a5f-4bd1-9e90-c318c738204b,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Hardscape Plan,Low,2025-05-02
60d3be69-fc5d-4a10-9142-443b347b5585,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Floor Plan,Low,2025-04-06
1b9b041d-121b-44bc-9d9d-5caf825e9046,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Roof Plan,High,2025-04-10
b45c2e63-419a-4ccf-abc6-a07efb8c9055,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Lighting & Fixture Plan,Low,2025-04-27
acba9a4d-bb33-459a-a28e-e493a98ff120,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Schematic Design,High,2025-04-08
bf29f5a6-3b98-4f7a-82f3-fb56e70a3255,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Schematic Design,Low,2025-04-04
d2bf39d7-fc18-4942-9ee9-5226c5cc17f5,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Elevation Drawing,High,2025-04-29
c576de4d-90af-43c7-b988-609e9a80026d,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Section Drawing,High,2025-04-22
f869e4be-b71c-4e9c-a483-2d43c1d29b88,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Furniture Layout Plan,High,2025-04-16
6c8331bc-7526-4384-9522-a44579a898c7,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Landscape Plan,Low,2025-04-07
d622f9d2-ad5a-421c-a680-957e634dd67a,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Conceptual Design,Low,2025-05-03
37bd9583-0990-4ba0-a7dd-b55aec85a59b,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Construction Document,Neutral,2025-04-21
ab69dba5-11d1-444a-84a0-b71c16e5277f,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Section Drawing,High,2025-04-26
a932afe4-7b3d-4fbe-8906-b37ae8a3cbe6,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Others,Low,2025-04-09
fd15446b-42cf-4fa5-a69e-90d12e26ad07,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Furniture Layout Plan,Neutral,2025-04-21
aa85aabd-f8a2-4a31-9600-98ea2b7aa7cb,Structural Coordination,Coordinate with the structural engineer for beam placements.,Zoning & Building Code Compliance,High,2025-04-17
671f6e95-8cbe-4100-82dd-c811d683e473,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Landscape Plan,Neutral,2025-04-09
c3137876-e28d-4f4c-8243-6c61dbea3c04,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Section Drawing,High,2025-04-24
00555a80-fb56-436c-9c2c-42d9381a1a01,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Site Plan,Low,2025-04-06
4bc43ee8-0cd8-43c9-9ea5-434a53fe7cc0,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Design Development,Neutral,2025-04-22
ab4aabac-23c6-4386-aa46-3fda9e367a57,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Lighting & Fixture Plan,Neutral,2025-04-30
baf4d7f7-53f3-4a1c-a5f4-eed6db82de0a,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Virtual Reality,Low,2025-04-09
3ba8eae1-64ce-430a-b4a1-3d546cb16661,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Custom Millwork & Joinery Drawing,Neutral,2025-04-14
b9045c0d-49f9-4697-9714-e743bc865d17,Technical Specifications,Compile technical specifications for the construction phase.,General Specification,Low,2025-04-09
f3ce5f58-e446-4197-bb44-ca15607b081a,Structural Coordination,Coordinate with the structural engineer for beam placements.,3D Model,Neutral,2025-04-04
3fa92739-bba1-4583-aa79-c84842b41ff3,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Partition Plan,Low,2025-05-01
08cc2da7-ca40-4265-acdf-fc9466125fb9,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Others,Neutral,2025-04-25
58352528-5358-4f30-94b4-465044e02cba,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Technical Specification,High,2025-04-20
682ba2e7-7923-4b57-80fa-bb6346d283b1,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Virtual Reality,High,2025-04-29
b4c9abc5-b609-4332-9b07-ebdda486917d,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Technical Specification,Low,2025-04-09
eb0d41b4-9b25-48d4-87b5-b5d6752f5541,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Door & Window Schedule,High,2025-04-11
3953c353-eae4-4e5b-9145-ab90f1306190,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Hardscape Plan,Neutral,2025-04-05
26a7ac03-7190-4635-89b9-f2bdb95d493e,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Reflected Ceiling Plan,Low,2025-04-07
073e17c6-525c-4be7-896f-279d051bcc03,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Furniture Layout Plan,Neutral,2025-04-14
8b36e45b-7bba-487b-a5c7-ec673c2fdf48,Technical Specifications,Compile technical specifications for the construction phase.,Hardscape Plan,High,2025-04-15
18ab7f56-cc01-4ea5-ac29-b224abf25eeb,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Hardscape Plan,Neutral,2025-04-19
722dd98c-7a6e-4e5c-9389-39052c58f253,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Design Development,High,2025-04-14
69ee954f-0529-4f0c-a96b-a7f3b6953798,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Roof Plan,High,2025-04-05
01dbbd14-c615-4631-86ca-dad57269b758,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Others,High,2025-04-19
0c61b944-9e2e-432e-beaf-1db98d8a82e6,Structural Coordination,Coordinate with the structural engineer for beam placements.,3D Render,Neutral,2025-04-15
140fad8e-53ae-4a14-bfa0-c5d0fb9646b9,Construction Documentation,Compile detailed construction drawings for city permit approval.,Elevation Drawing,Neutral,2025-04-08
9dc78209-daf3-405d-9664-e49aced5f1eb,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Door & Window Schedule,High,2025-04-26
c37b8a8e-9b0c-4753-98b9-a766374ad86a,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Material Board,High,2025-04-09
5f6a288e-bdb5-4f81-9116-7ba292af6f82,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Interior Layout Plan,Low,2025-04-24
0446e364-ba15-4460-9033-6b768bfe0134,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,3D Model,High,2025-04-14
e25b4827-4611-46a9-a81b-77968c111421,Construction Documentation,Compile detailed construction drawings for city permit approval.,Material Board,Low,2025-04-04
a1f1ed54-db41-4ca2-80cb-7f324a8fa11d,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Site Plan,Low,2025-04-21
04c2acc1-fe7a-4a74-8495-73f5f0760592,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Floor Plan,Neutral,2025-04-08
286643dc-b71c-454d-a25f-881d41852c40,Technical Specifications,Compile technical specifications for the construction phase.,Permit Drawing,High,2025-04-25
44c192cf-21aa-46d2-830d-378c83adb4cc,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Roof Plan,Low,2025-04-06
49f3030b-dfe0-4764-a92f-0edf1d1f367b,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Zoning & Building Code Compliance,High,2025-04-28
ef02174c-0124-4e8c-8df9-c3800c812d94,Structural Coordination,Coordinate with the structural engineer for beam placements.,Design Development,High,2025-04-07
b8d2bda8-65d3-43fa-8190-6c534121a79b,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Custom Millwork & Joinery Drawing,High,2025-04-11
d1f84c22-929d-4d0d-a1a3-b9fbb7fc43f9,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Hardscape Plan,Low,2025-04-05
06f8eae7-0068-4aba-bedf-8f5ba7d64605,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,3D Model,Low,2025-04-05
351d8403-c472-4d60-b192-fc1947252b8f,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Technical Specification,Neutral,2025-04-14
157a1801-c267-4779-bdff-9f53a22772e3,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Construction Document,High,2025-05-02
e89f0277-9640-421c-8c64-a0129112a53d,Structural Coordination,Coordinate with the structural engineer for beam placements.,Schematic Design,High,2025-04-19
59a19610-ffb5-402d-bf5e-67488e0d2a5c,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Schematic Design,High,2025-04-07
5ab879c6-76be-41f0-acb0-d1603445ee66,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Elevation Drawing,High,2025-04-17
b3fec94e-3c9f-41b4-8a85-2852794f5e69,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Schematic Design,High,2025-04-06
824c4d49-a709-4211-8e01-133a13e41ca9,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Elevation Drawing,High,2025-05-03
6ffdbb72-dea9-4ceb-bfaa-c8c0a67bea38,Technical Specifications,Compile technical specifications for the construction phase.,Lighting & Fixture Plan,Low,2025-04-14
4af076da-7c39-47ec-93b7-33a3ab084804,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Interior Layout Plan,Low,2025-05-01
91771dae-482a-489e-b486-c17e2fd4a05a,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Furniture Layout Plan,Neutral,2025-04-23
17f3642b-b198-4e32-b50d-80c4e4665c4b,Construction Documentation,Compile detailed construction drawings for city permit approval.,Furniture Layout Plan,High,2025-04-30
6f473d1b-6be7-4b5d-bf78-5af4121d7650,Technical Specifications,Compile technical specifications for the construction phase.,Permit Drawing,Neutral,2025-04-27
5800a552-b17c-47eb-bcc0-952274b286b7,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Interior Layout Plan,High,2025-04-17
b19ff8e7-20cd-4ad7-8de2-fc0b16c2cc4c,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Site Plan,Low,2025-04-10
237467f1-bbc9-4542-bdc1-cb736d2ddf4d,Structural Coordination,Coordinate with the structural engineer for beam placements.,Hardscape Plan,Low,2025-04-04
e72a3fe7-9b9a-47ad-8cd8-18b7a5b34451,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Partition Plan,High,2025-04-10
4cea0187-5723-48c8-912a-6023b0e9f7c7,Technical Specifications,Compile technical specifications for the construction phase.,Material Board,High,2025-04-06
a79e524b-f09a-4871-9960-ec230c8dafe4,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Section Drawing,Neutral,2025-04-14
3bf60aa6-ec0d-48a6-af4d-7dcc4faa314b,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,3D Model,Low,2025-04-05
bb01fcba-7b14-4e64-9bbb-750baabafdbb,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Elevation Drawing,High,2025-04-28
c6fa4f96-b637-4cf1-a7c7-83bc95ad4a0f,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Schematic Design,High,2025-04-12
d9fc627b-a8d6-4c29-9063-3ecd26a9bfaa,Structural Coordination,Coordinate with the structural engineer for beam placements.,Conceptual Design,Neutral,2025-04-07
453ac049-766d-4f33-801b-4d8f5092b168,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Site Plan,Low,2025-04-07
fce1be10-f8f7-4e38-b0d2-0296e3a8dcd5,Technical Specifications,Compile technical specifications for the construction phase.,General Specification,Low,2025-04-27
78fd1148-4ae6-4fe4-b257-24dfa246f235,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Lighting & Fixture Plan,Low,2025-04-09
f75e1239-3910-4f6d-b4c8-52460a3e3b1f,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Landscape Plan,High,2025-04-09
bb4637b2-1e86-4500-b185-4de29cec73a9,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Zoning & Building Code Compliance,Neutral,2025-04-30
5797800a-4c65-49fe-921a-822813fbaa12,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Section Drawing,Neutral,2025-04-28
88a75b0c-20cf-4541-8908-66404dcc0d08,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Others,High,2025-04-16
5989b59b-8123-4b89-830c-c754a520008f,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Lighting & Fixture Plan,Neutral,2025-04-27
4b76f227-e866-4c7d-ae57-58b61f702ae1,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Landscape Plan,High,2025-05-01
ed091bd2-f455-4a62-b733-e5e93d66dfb8,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Partition Plan,Neutral,2025-04-14
62d3e5f4-243e-4785-bcd7-aea4fec057b2,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Conceptual Design,High,2025-04-15
39bcfdb6-d3f8-401b-9226-637987cff1af,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Elevation Drawing,Low,2025-04-08
e57d3e30-9b03-4123-8a89-08490b950baa,Construction Documentation,Compile detailed construction drawings for city permit approval.,3D Model,High,2025-04-11
6391acdc-618b-445e-ac65-102cf61f3a97,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Virtual Reality,Low,2025-04-22
0c2b0bab-973e-4edf-bce6-d81a36f6d04a,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Interior Layout Plan,Neutral,2025-04-24
926e1249-1f72-4c5b-8b3f-fb16a88d7f20,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Hardscape Plan,Neutral,2025-04-07
bf970053-258b-48c4-904e-bf3dd557a25d,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Custom Millwork & Joinery Drawing,Neutral,2025-04-23
7133d891-6ae1-4234-b5d1-b04319b51239,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Material Board,High,2025-04-08
7d90a81c-2c78-4bc7-824f-678ba6e70bb3,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Elevation Drawing,Low,2025-04-05
292f6fff-5c66-447e-a065-40b30effcd9c,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,3D Render,Neutral,2025-04-23
fffd8e52-dc7c-4c90-baa6-e0785b23e07e,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Design Development,Neutral,2025-04-19
92a70daf-98f2-4e94-9b71-f1b41256ea99,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Design Development,Low,2025-04-21
54044966-9aff-43c8-b649-0ca798ea8cc4,Construction Documentation,Compile detailed construction drawings for city permit approval.,Landscape Plan,Neutral,2025-04-22
53d75580-b1bc-42ba-8516-f83f619bc205,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Finish Schedule,High,2025-04-25
f4067e8d-5762-42fa-afe7-3666ccc3e041,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Technical Specification,Low,2025-04-29
da8c80e8-7712-45e2-bdae-7e9fddc6b2fb,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,3D Render,High,2025-04-05
f71a4daf-a3bb-4a8b-8b19-4aff281fa6ba,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Door & Window Schedule,Low,2025-05-02
15f3e78e-8357-4b0d-a934-312d1c033447,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Furniture Layout Plan,High,2025-04-27
4f516989-9b4f-4a8c-8d2d-1cf2bff63ebf,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Reflected Ceiling Plan,High,2025-04-29
bd4391ee-62ae-43ca-9841-d113c83cb7b2,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Door & Window Schedule,Low,2025-04-15
855c4af6-d337-4c70-9669-b252b6ed5ed1,Technical Specifications,Compile technical specifications for the construction phase.,Lighting & Fixture Plan,Low,2025-04-22
9d52af73-32c8-45c9-81af-0c4f889f5198,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Others,High,2025-04-10
0ba82309-28bd-4d5c-a602-5ecd7eeec145,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Technical Specification,High,2025-04-08
0a77e7ef-2354-41ae-9fec-09550b01850f,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Site Plan,Low,2025-04-25
d702da5b-cc36-4d2b-8872-245087a525f8,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Permit Drawing,Neutral,2025-04-19
