preferred_task,quality_score,title,description,type_of_task,priority_level,due_date,workload
Section Drawing,0.73,Structural Coordination,Coordinate with the structural engineer for beam placements.,General Specification,High,2025-04-12,4
Design Development,0.71,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Material Board,Neutral,2025-05-06,2
Landscape Plan,0.68,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Furniture Layout Plan,Neutral,2025-04-17,6
Conceptual Design,0.67,Construction Documentation,Compile detailed construction drawings for city permit approval.,Design Development,High,2025-05-10,0
Furniture Layout Plan,0.66,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Custom Millwork & Joinery Drawing,High,2025-04-27,6
Custom Millwork & Joinery Drawing,0.64,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Material Board,High,2025-04-12,7
Site Plan,0.66,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Section Drawing,Neutral,2025-04-12,10
Section Drawing,0.97,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Permit Drawing,High,2025-05-04,8
Reflected Ceiling Plan,0.71,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Others,Low,2025-05-04,2
Finish Schedule,0.79,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Door & Window Schedule,Neutral,2025-04-20,6
Finish Schedule,0.79,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Virtual Reality,High,2025-04-11,3
General Specification,0.71,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Schematic Design,Neutral,2025-04-28,0
Interior Layout Plan,0.64,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Landscape Plan,High,2025-04-20,7
Furniture Layout Plan,0.85,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Design Development,High,2025-04-11,3
Floor Plan,0.73,Structural Coordination,Coordinate with the structural engineer for beam placements.,General Specification,Low,2025-04-28,5
Roof Plan,0.66,Construction Documentation,Compile detailed construction drawings for city permit approval.,Custom Millwork & Joinery Drawing,Low,2025-05-07,3
Design Development,0.99,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Virtual Reality,High,2025-04-22,4
Section Drawing,0.74,Construction Documentation,Compile detailed construction drawings for city permit approval.,Lighting & Fixture Plan,Neutral,2025-04-30,0
Section Drawing,0.99,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Permit Drawing,Low,2025-04-24,0
Roof Plan,0.87,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Landscape Plan,High,2025-05-07,0
Conceptual Design,0.79,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Landscape Plan,Neutral,2025-04-18,8
Lighting & Fixture Plan,0.75,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Furniture Layout Plan,Low,2025-05-07,0
Technical Specification,0.89,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Landscape Plan,Neutral,2025-04-18,0
Reflected Ceiling Plan,0.82,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,3D Render,Low,2025-05-09,3
Conceptual Design,0.9,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Zoning & Building Code Compliance,Neutral,2025-04-15,1
Interior Layout Plan,0.9,Technical Specifications,Compile technical specifications for the construction phase.,Construction Document,Neutral,2025-04-29,5
Interior Layout Plan,0.73,Structural Coordination,Coordinate with the structural engineer for beam placements.,General Specification,High,2025-04-12,8
Lighting & Fixture Plan,0.99,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Door & Window Schedule,High,2025-04-26,2
Partition Plan,0.92,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Zoning & Building Code Compliance,Neutral,2025-04-30,10
3D Model,0.69,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Interior Layout Plan,Neutral,2025-04-18,6
Floor Plan,0.8,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Lighting & Fixture Plan,Neutral,2025-05-01,7
Landscape Plan,0.67,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Material Board,Low,2025-04-16,1
Conceptual Design,0.71,Construction Documentation,Compile detailed construction drawings for city permit approval.,Construction Document,High,2025-04-15,0
Schematic Design,0.77,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Technical Specification,Low,2025-04-22,9
Partition Plan,0.88,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Floor Plan,Low,2025-04-17,10
Door & Window Schedule,0.74,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Design Development,High,2025-04-18,8
Virtual Reality,0.9,Permit Drawing Submission,Prepare and submit permit drawings for approval.,General Specification,High,2025-04-16,4
Finish Schedule,0.8,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Technical Specification,High,2025-04-19,9
Elevation Drawing,0.72,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Roof Plan,Low,2025-04-16,9
3D Render,0.92,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,3D Render,Low,2025-05-01,10
Reflected Ceiling Plan,0.78,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Roof Plan,Low,2025-05-10,1
Roof Plan,0.82,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Material Board,Low,2025-05-02,0
Elevation Drawing,0.86,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Reflected Ceiling Plan,Low,2025-04-20,3
Finish Schedule,0.68,Structural Coordination,Coordinate with the structural engineer for beam placements.,Others,Neutral,2025-04-26,2
Site Plan,0.78,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Design Development,Low,2025-04-25,10
Roof Plan,0.71,Construction Documentation,Compile detailed construction drawings for city permit approval.,Virtual Reality,Low,2025-04-12,8
Lighting & Fixture Plan,0.82,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Finish Schedule,High,2025-05-03,7
Zoning & Building Code Compliance,0.9,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Roof Plan,Low,2025-05-06,3
Lighting & Fixture Plan,0.76,Permit Drawing Submission,Prepare and submit permit drawings for approval.,3D Render,Low,2025-05-01,7
3D Model,0.86,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Design Development,High,2025-05-05,6
Section Drawing,0.71,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Partition Plan,Neutral,2025-04-15,3
3D Model,0.61,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Furniture Layout Plan,Low,2025-04-25,6
Conceptual Design,0.67,Permit Drawing Submission,Prepare and submit permit drawings for approval.,3D Model,Low,2025-05-01,8
Interior Layout Plan,0.74,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Conceptual Design,Low,2025-04-25,4
Door & Window Schedule,0.66,3D Model Development,Create a detailed 3D model for the client’s new residential project.,General Specification,Neutral,2025-05-02,9
Roof Plan,0.83,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Partition Plan,Low,2025-04-14,0
Interior Layout Plan,0.96,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Technical Specification,High,2025-04-30,3
Landscape Plan,0.68,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,General Specification,High,2025-05-06,10
Custom Millwork & Joinery Drawing,0.94,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,3D Render,High,2025-05-08,5
Landscape Plan,0.61,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Floor Plan,High,2025-04-19,6
Elevation Drawing,0.79,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Hardscape Plan,Low,2025-05-08,2
Others,0.63,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Others,High,2025-05-07,8
Design Development,0.62,Construction Documentation,Compile detailed construction drawings for city permit approval.,Site Plan,High,2025-05-05,0
Virtual Reality,0.87,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Permit Drawing,High,2025-05-09,8
Custom Millwork & Joinery Drawing,0.67,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Section Drawing,Neutral,2025-04-11,3
Interior Layout Plan,0.77,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Design Development,Neutral,2025-04-27,6
Schematic Design,0.82,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Finish Schedule,Low,2025-04-15,7
Conceptual Design,0.69,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Furniture Layout Plan,Low,2025-04-26,5
Site Plan,0.81,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Finish Schedule,Low,2025-05-08,1
Furniture Layout Plan,0.96,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Furniture Layout Plan,Neutral,2025-04-18,2
Material Board,0.68,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Roof Plan,High,2025-04-24,9
Others,0.89,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Door & Window Schedule,High,2025-04-29,1
Schematic Design,0.68,Structural Coordination,Coordinate with the structural engineer for beam placements.,3D Model,Low,2025-04-29,0
Furniture Layout Plan,0.92,Construction Documentation,Compile detailed construction drawings for city permit approval.,3D Render,High,2025-04-25,7
Custom Millwork & Joinery Drawing,0.76,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Partition Plan,Low,2025-04-16,4
Partition Plan,0.98,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Custom Millwork & Joinery Drawing,Low,2025-05-09,7
Material Board,0.61,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Permit Drawing,Low,2025-04-30,3
Virtual Reality,0.86,Construction Documentation,Compile detailed construction drawings for city permit approval.,Furniture Layout Plan,High,2025-04-19,8
Site Plan,0.9,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Lighting & Fixture Plan,Low,2025-04-29,7
Hardscape Plan,0.73,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Door & Window Schedule,Low,2025-04-14,8
Site Plan,0.62,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Hardscape Plan,Low,2025-04-19,8
Section Drawing,0.9,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Elevation Drawing,High,2025-05-08,3
Door & Window Schedule,0.96,Construction Documentation,Compile detailed construction drawings for city permit approval.,Partition Plan,Neutral,2025-05-03,3
Custom Millwork & Joinery Drawing,0.65,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Conceptual Design,Low,2025-04-30,2
3D Model,0.95,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Reflected Ceiling Plan,High,2025-05-07,0
Technical Specification,0.96,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Landscape Plan,High,2025-05-05,4
Conceptual Design,0.98,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Landscape Plan,Low,2025-04-19,6
Design Development,0.81,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Virtual Reality,Low,2025-05-02,6
3D Render,0.62,Technical Specifications,Compile technical specifications for the construction phase.,Site Plan,Low,2025-04-28,6
Lighting & Fixture Plan,0.94,Technical Specifications,Compile technical specifications for the construction phase.,Hardscape Plan,High,2025-04-12,3
Landscape Plan,0.72,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Virtual Reality,High,2025-04-15,0
Section Drawing,0.67,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Door & Window Schedule,Low,2025-04-17,7
Furniture Layout Plan,0.86,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Section Drawing,Neutral,2025-04-17,9
Construction Document,0.8,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Custom Millwork & Joinery Drawing,High,2025-05-07,1
Custom Millwork & Joinery Drawing,0.67,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Roof Plan,High,2025-04-25,6
General Specification,0.97,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Virtual Reality,Low,2025-04-24,3
Lighting & Fixture Plan,0.87,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Reflected Ceiling Plan,High,2025-04-25,5
General Specification,0.61,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Design Development,High,2025-04-14,6
Lighting & Fixture Plan,0.89,3D Model Development,Create a detailed 3D model for the client’s new residential project.,3D Model,Neutral,2025-04-25,10
General Specification,0.72,Technical Specifications,Compile technical specifications for the construction phase.,Lighting & Fixture Plan,Neutral,2025-04-19,10
Virtual Reality,0.92,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,3D Model,High,2025-04-29,6
Others,0.71,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,General Specification,Neutral,2025-05-10,7
Roof Plan,0.79,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Permit Drawing,Low,2025-05-05,10
Finish Schedule,0.93,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Landscape Plan,Low,2025-04-13,10
Technical Specification,0.89,Construction Documentation,Compile detailed construction drawings for city permit approval.,Custom Millwork & Joinery Drawing,Neutral,2025-04-12,4
Material Board,0.68,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Hardscape Plan,High,2025-04-28,3
Finish Schedule,0.92,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Technical Specification,Neutral,2025-04-23,1
3D Render,0.81,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Section Drawing,Low,2025-04-23,0
Roof Plan,0.92,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Partition Plan,High,2025-04-20,9
Floor Plan,0.87,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Material Board,High,2025-04-25,7
Schematic Design,0.92,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Zoning & Building Code Compliance,Neutral,2025-05-03,6
General Specification,0.67,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Reflected Ceiling Plan,Neutral,2025-04-24,9
Zoning & Building Code Compliance,0.92,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Construction Document,High,2025-04-15,7
Elevation Drawing,0.69,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Technical Specification,High,2025-05-08,1
Finish Schedule,0.66,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Construction Document,High,2025-04-21,2
Technical Specification,0.76,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Roof Plan,Neutral,2025-05-01,9
Virtual Reality,0.7,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Conceptual Design,High,2025-04-12,2
Lighting & Fixture Plan,0.98,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,3D Model,High,2025-05-03,9
Lighting & Fixture Plan,0.64,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Roof Plan,Low,2025-04-19,9
Elevation Drawing,0.9,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Floor Plan,Low,2025-04-19,9
Others,0.71,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Floor Plan,High,2025-04-11,6
Custom Millwork & Joinery Drawing,0.99,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Technical Specification,Neutral,2025-04-16,5
Floor Plan,0.91,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Reflected Ceiling Plan,Neutral,2025-05-03,6
Lighting & Fixture Plan,0.98,Technical Specifications,Compile technical specifications for the construction phase.,Conceptual Design,Neutral,2025-05-05,3
Elevation Drawing,0.69,Construction Documentation,Compile detailed construction drawings for city permit approval.,Custom Millwork & Joinery Drawing,High,2025-04-17,3
Site Plan,0.62,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Custom Millwork & Joinery Drawing,Neutral,2025-04-25,2
3D Render,0.71,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Lighting & Fixture Plan,Low,2025-04-18,7
Others,0.63,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Others,Low,2025-04-24,8
Construction Document,0.91,Technical Specifications,Compile technical specifications for the construction phase.,Floor Plan,Low,2025-05-08,1
General Specification,0.73,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Partition Plan,Low,2025-04-21,0
Partition Plan,0.78,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Zoning & Building Code Compliance,Neutral,2025-04-18,4
Hardscape Plan,0.7,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Hardscape Plan,Neutral,2025-05-09,10
Construction Document,0.84,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Landscape Plan,Neutral,2025-04-12,7
Schematic Design,0.84,Structural Coordination,Coordinate with the structural engineer for beam placements.,Hardscape Plan,Low,2025-04-27,9
Schematic Design,0.88,Technical Specifications,Compile technical specifications for the construction phase.,Construction Document,High,2025-04-22,0
Elevation Drawing,0.91,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Others,Neutral,2025-04-23,7
Material Board,0.68,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Site Plan,High,2025-05-02,8
Partition Plan,0.77,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Finish Schedule,Neutral,2025-05-08,4
General Specification,0.87,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Finish Schedule,Neutral,2025-05-10,3
Permit Drawing,0.71,Technical Specifications,Compile technical specifications for the construction phase.,3D Render,High,2025-05-02,10
Others,0.93,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Section Drawing,High,2025-05-07,2
Section Drawing,0.9,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Partition Plan,High,2025-04-16,9
Custom Millwork & Joinery Drawing,0.73,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Landscape Plan,Low,2025-04-17,1
Roof Plan,0.66,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,3D Render,High,2025-04-30,5
Custom Millwork & Joinery Drawing,0.83,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Zoning & Building Code Compliance,Low,2025-04-12,9
Reflected Ceiling Plan,0.67,Technical Specifications,Compile technical specifications for the construction phase.,Furniture Layout Plan,High,2025-05-05,5
Interior Layout Plan,0.84,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Roof Plan,Neutral,2025-05-08,4
General Specification,0.81,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,General Specification,High,2025-04-12,2
Design Development,0.78,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Landscape Plan,High,2025-04-26,10
Elevation Drawing,0.61,Technical Specifications,Compile technical specifications for the construction phase.,Lighting & Fixture Plan,High,2025-04-29,2
Interior Layout Plan,0.79,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Design Development,Neutral,2025-05-09,9
Custom Millwork & Joinery Drawing,0.91,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Conceptual Design,Neutral,2025-04-19,10
Construction Document,0.62,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Landscape Plan,Neutral,2025-04-17,7
Section Drawing,0.97,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Partition Plan,Neutral,2025-04-28,3
Permit Drawing,0.61,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Virtual Reality,High,2025-05-08,8
Design Development,0.92,Construction Documentation,Compile detailed construction drawings for city permit approval.,Zoning & Building Code Compliance,Neutral,2025-05-08,6
Material Board,0.77,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Reflected Ceiling Plan,High,2025-04-27,1
Section Drawing,0.76,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Virtual Reality,Neutral,2025-04-30,7
Permit Drawing,0.99,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Material Board,Low,2025-04-28,3
Conceptual Design,0.74,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,3D Model,Low,2025-04-26,6
Site Plan,0.77,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Partition Plan,Low,2025-04-24,8
Custom Millwork & Joinery Drawing,0.63,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Site Plan,High,2025-04-19,9
Reflected Ceiling Plan,0.8,Construction Documentation,Compile detailed construction drawings for city permit approval.,3D Model,Low,2025-05-05,1
Site Plan,0.82,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Roof Plan,Low,2025-04-24,5
Material Board,0.95,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Interior Layout Plan,High,2025-04-14,1
Schematic Design,0.7,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,3D Model,Neutral,2025-04-14,7
Hardscape Plan,0.93,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Door & Window Schedule,Low,2025-04-28,2
Schematic Design,0.74,Technical Specifications,Compile technical specifications for the construction phase.,Reflected Ceiling Plan,Low,2025-05-03,9
Zoning & Building Code Compliance,0.72,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Virtual Reality,High,2025-04-19,10
Conceptual Design,0.95,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,3D Render,Neutral,2025-04-24,4
Virtual Reality,0.91,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Design Development,Low,2025-04-20,7
Virtual Reality,0.88,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Landscape Plan,Neutral,2025-04-29,3
Schematic Design,0.98,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Section Drawing,High,2025-04-16,3
Material Board,0.85,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Design Development,Low,2025-04-16,0
Landscape Plan,0.8,Structural Coordination,Coordinate with the structural engineer for beam placements.,3D Model,Neutral,2025-04-15,1
Landscape Plan,0.96,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Permit Drawing,High,2025-04-13,4
Others,0.62,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Reflected Ceiling Plan,Low,2025-05-01,7
Interior Layout Plan,0.94,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Lighting & Fixture Plan,Low,2025-05-03,8
General Specification,0.9,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Reflected Ceiling Plan,High,2025-04-14,9
Floor Plan,0.64,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Finish Schedule,Low,2025-04-19,5
Floor Plan,0.71,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Lighting & Fixture Plan,High,2025-05-09,2
Technical Specification,0.7,Technical Specifications,Compile technical specifications for the construction phase.,Roof Plan,High,2025-04-29,6
Reflected Ceiling Plan,0.97,Structural Coordination,Coordinate with the structural engineer for beam placements.,Hardscape Plan,Low,2025-05-05,0
Custom Millwork & Joinery Drawing,0.88,Construction Documentation,Compile detailed construction drawings for city permit approval.,Elevation Drawing,Neutral,2025-04-16,0
Furniture Layout Plan,0.94,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Landscape Plan,Neutral,2025-04-24,6
Conceptual Design,0.75,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Interior Layout Plan,Neutral,2025-04-21,9
Lighting & Fixture Plan,0.87,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Furniture Layout Plan,Neutral,2025-04-27,8
Floor Plan,0.87,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Construction Document,High,2025-04-18,6
Schematic Design,0.63,Construction Documentation,Compile detailed construction drawings for city permit approval.,Floor Plan,Low,2025-05-10,5
Door & Window Schedule,0.72,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,General Specification,Low,2025-04-24,10
Hardscape Plan,0.65,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Construction Document,Neutral,2025-04-24,4
Floor Plan,0.66,Technical Specifications,Compile technical specifications for the construction phase.,Lighting & Fixture Plan,Low,2025-04-20,6
Design Development,0.66,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Design Development,High,2025-04-28,9
General Specification,0.79,Structural Coordination,Coordinate with the structural engineer for beam placements.,Landscape Plan,High,2025-04-20,0
Others,0.91,Structural Coordination,Coordinate with the structural engineer for beam placements.,Construction Document,High,2025-04-30,7
Technical Specification,0.91,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,3D Model,High,2025-04-11,3
Landscape Plan,0.66,Technical Specifications,Compile technical specifications for the construction phase.,Finish Schedule,Neutral,2025-05-10,0
Hardscape Plan,0.83,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Floor Plan,Neutral,2025-04-16,6
Elevation Drawing,0.66,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Interior Layout Plan,Low,2025-05-08,5
Virtual Reality,0.7,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Permit Drawing,Neutral,2025-05-06,10
Interior Layout Plan,0.67,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Design Development,Neutral,2025-05-04,2
Custom Millwork & Joinery Drawing,0.79,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Hardscape Plan,Low,2025-04-15,6
Construction Document,0.78,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Others,High,2025-05-10,6
Site Plan,0.99,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Lighting & Fixture Plan,Low,2025-04-19,4
Construction Document,0.79,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Schematic Design,Low,2025-04-24,6
Section Drawing,0.93,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Construction Document,High,2025-04-18,3
Design Development,0.73,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Design Development,High,2025-04-30,1
Landscape Plan,0.63,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Lighting & Fixture Plan,Low,2025-05-04,6
Construction Document,0.95,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Virtual Reality,Low,2025-04-20,3
Material Board,0.99,Technical Specifications,Compile technical specifications for the construction phase.,Furniture Layout Plan,Neutral,2025-04-23,6
Material Board,0.82,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Material Board,High,2025-05-06,2
Finish Schedule,0.93,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,General Specification,Low,2025-04-16,5
Finish Schedule,0.83,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Finish Schedule,Low,2025-04-15,7
Technical Specification,0.69,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Schematic Design,Low,2025-05-09,0
Furniture Layout Plan,0.97,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Furniture Layout Plan,High,2025-04-28,9
Hardscape Plan,0.74,Structural Coordination,Coordinate with the structural engineer for beam placements.,Technical Specification,Low,2025-04-12,10
Conceptual Design,0.97,Technical Specifications,Compile technical specifications for the construction phase.,Custom Millwork & Joinery Drawing,Neutral,2025-05-01,5
Lighting & Fixture Plan,0.81,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Material Board,Low,2025-04-16,3
Roof Plan,0.86,Technical Specifications,Compile technical specifications for the construction phase.,General Specification,Low,2025-04-30,3
Interior Layout Plan,0.83,Structural Coordination,Coordinate with the structural engineer for beam placements.,Conceptual Design,Neutral,2025-04-29,6
Design Development,0.88,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Interior Layout Plan,High,2025-04-30,8
Zoning & Building Code Compliance,0.86,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Section Drawing,High,2025-04-14,8
3D Model,0.86,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Roof Plan,Neutral,2025-04-30,10
Schematic Design,0.81,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Site Plan,High,2025-05-08,2
