title,description,type_of_task,priority_level,due_date,workload,avg_quality_score,preferred_task,match_score
Building Performance Analysis,Assess daylighting and thermal performance using simulation tools.,Interior Layout Plan,High,2025-04-30,7,0.17,Site Plan,0.33
Interior Material Board Creation,"Prepare a presentation board with fabric, finish, and texture samples.",Roof Plan,High,2025-04-29,10,0.28,Design Development,0.36
Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Technical Specification,High,2025-04-22,7,0.17,Door & Window Schedule,0.33
Partition Plan Finalization,Define internal partitioning layouts for the healthcare facility.,Construction Document,High,2025-05-03,9,0.39,Lighting & Fixture Plan,0.38
Custom Fixture Detailing,Design custom-built washbasin counters for the hotel suites.,Floor Plan,High,2025-04-30,5,0.38,Furniture Layout Plan,0.38
Client Feedback Revisions,Implement client-requested changes into the design presentation.,Furniture Layout Plan,High,2025-04-13,9,0.14,Floor Plan,0.33
As-Built Drawing Preparation,Update drawings to reflect actual built conditions post-construction.,Furniture Layout Plan,Low,2025-05-06,10,0.08,Floor Plan,0.12
As-Built Drawing Preparation,Update drawings to reflect actual built conditions post-construction.,Partition Plan,Low,2025-04-25,7,0.3,Permit Drawing,0.16
Building Performance Analysis,Assess daylighting and thermal performance using simulation tools.,Hardscape Plan,Neutral,2025-04-15,6,0.24,Section Drawing,0.25
Design Coordination Meeting,Meet with MEP consultants to ensure design integration across disciplines.,Virtual Reality,Low,2025-05-07,10,0.16,Landscape Plan,0.13
Permit Drawing Submission,Prepare and submit permit drawings for approval.,Others,Low,2025-04-28,3,0.43,Others,0.49
Construction Documentation,Compile detailed construction drawings for city permit approval.,Others,High,2025-04-15,4,0.26,Technical Specification,0.35
Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Construction Document,High,2025-05-09,6,0.16,Custom Millwork & Joinery Drawing,0.33
Bid Package Compilation,Organize all documents needed for contractor bidding.,3D Model,Low,2025-04-16,6,0.22,Elevation Drawing,0.14
Landscape Design Refinement,Enhance the planting layout for the residential garden.,Hardscape Plan,Low,2025-05-01,2,0.3,Reflected Ceiling Plan,0.16
Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Zoning & Building Code Compliance,High,2025-04-24,9,0.48,Partition Plan,0.4
Client Feedback Revisions,Implement client-requested changes into the design presentation.,Partition Plan,High,2025-04-27,3,0.23,Others,0.35
Zoning Compliance Review,Analyze local zoning regulations to ensure the proposed design aligns with building codes.,Site Plan,High,2025-04-26,1,0.05,Custom Millwork & Joinery Drawing,0.31
Schematic Design Iteration,Refine the schematic design for feedback from the stakeholders.,Roof Plan,High,2025-05-09,4,0.1,Technical Specification,0.32
Custom Fixture Detailing,Design custom-built washbasin counters for the hotel suites.,Reflected Ceiling Plan,Neutral,2025-04-21,8,0.35,Furniture Layout Plan,0.27
Partition Plan Finalization,Define internal partitioning layouts for the healthcare facility.,Partition Plan,High,2025-04-20,5,0.23,Conceptual Design,0.35
Reflected Ceiling Plan Drafting,Draft the reflected ceiling plan including lighting and HVAC elements.,Lighting & Fixture Plan,Neutral,2025-04-23,10,0.22,Reflected Ceiling Plan,0.24
Sustainability Assessment,Evaluate building materials and systems for LEED compliance.,Elevation Drawing,Neutral,2025-04-22,5,0.49,Schematic Design,0.3
Permit Drawing Submission,Prepare and submit permit drawings for approval.,Virtual Reality,Low,2025-04-26,8,0.28,3D Model,0.16
Site Plan Drafting,Prepare a site plan layout considering zoning and access.,General Specification,Low,2025-05-10,5,0.18,Design Development,0.14
Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Design Development,Low,2025-04-28,9,0.34,Furniture Layout Plan,0.17
Zoning Compliance Review,Analyze local zoning regulations to ensure the proposed design aligns with building codes.,Partition Plan,Neutral,2025-04-14,4,0.26,Reflected Ceiling Plan,0.25
Zoning Compliance Review,Analyze local zoning regulations to ensure the proposed design aligns with building codes.,Construction Document,Neutral,2025-05-06,9,0.44,Site Plan,0.29
Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Section Drawing,Neutral,2025-04-29,5,0.26,Design Development,0.25
As-Built Drawing Preparation,Update drawings to reflect actual built conditions post-construction.,Door & Window Schedule,Neutral,2025-05-09,9,0.5,Roof Plan,0.3
MEP Clash Detection,Run a clash detection session between MEP and architectural models.,Permit Drawing,Neutral,2025-04-17,3,0.07,Furniture Layout Plan,0.21
Green Roof Plan Development,Design the planting and drainage system for the green roof.,Interior Layout Plan,Neutral,2025-04-15,4,0.28,Roof Plan,0.26
Finish Schedule Compilation,"List all interior finishes including floors, walls, and ceilings for the commercial space.",Design Development,High,2025-04-23,5,0.34,Others,0.37
Detail Section Drawing,Draw enlarged sections through complex junctions in the facade.,Virtual Reality,High,2025-04-25,1,0.52,Custom Millwork & Joinery Drawing,0.4
Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Schematic Design,Low,2025-05-08,7,0.1,Floor Plan,0.12
Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Finish Schedule,Low,2025-05-10,4,0.23,General Specification,0.15
Building Performance Analysis,Assess daylighting and thermal performance using simulation tools.,Interior Layout Plan,Neutral,2025-04-21,3,0.64,Hardscape Plan,0.33
Schematic Design Iteration,Refine the schematic design for feedback from the stakeholders.,Partition Plan,Low,2025-05-01,9,0.32,General Specification,0.16
Code Compliance Report,"Prepare a summary document addressing fire, accessibility, and egress codes.",Site Plan,Neutral,2025-04-12,6,0.2,Material Board,0.24
Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Elevation Drawing,High,2025-04-30,5,0.07,Reflected Ceiling Plan,0.31
Permit Drawing Submission,Prepare and submit permit drawings for approval.,Technical Specification,Low,2025-04-22,2,0.41,Landscape Plan,0.18
Partition Plan Finalization,Define internal partitioning layouts for the healthcare facility.,3D Render,Neutral,2025-04-23,3,0.47,Custom Millwork & Joinery Drawing,0.29
General Specification Draft,Prepare general notes and material specifications for tender documents.,Zoning & Building Code Compliance,Neutral,2025-04-23,4,0.3,3D Render,0.26
Detail Section Drawing,Draw enlarged sections through complex junctions in the facade.,Section Drawing,High,2025-04-22,6,0.26,Door & Window Schedule,0.35
Zoning Compliance Review,Analyze local zoning regulations to ensure the proposed design aligns with building codes.,Virtual Reality,Low,2025-05-02,3,0.27,Finish Schedule,0.15
Finish Schedule Compilation,"List all interior finishes including floors, walls, and ceilings for the commercial space.",Technical Specification,High,2025-04-14,8,0.64,Interior Layout Plan,0.43
Reflected Ceiling Plan Drafting,Draft the reflected ceiling plan including lighting and HVAC elements.,3D Render,Neutral,2025-05-04,10,0.64,Material Board,0.33
Green Roof Plan Development,Design the planting and drainage system for the green roof.,Interior Layout Plan,Low,2025-05-03,8,0.05,Technical Specification,0.11
Roof Plan Drawing,"Detail the slope, drainage, and roofing system layout for the warehouse.",Site Plan,High,2025-04-17,7,0.32,Schematic Design,0.36
Sustainability Assessment,Evaluate building materials and systems for LEED compliance.,General Specification,Low,2025-04-27,5,0.6,Schematic Design,0.22
Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Material Board,Neutral,2025-04-11,9,0.16,Finish Schedule,0.23
Sustainability Assessment,Evaluate building materials and systems for LEED compliance.,Finish Schedule,High,2025-04-23,4,0.27,Material Board,0.35
Permit Drawing Submission,Prepare and submit permit drawings for approval.,Landscape Plan,Neutral,2025-04-27,10,0.21,Others,0.24
Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Roof Plan,Neutral,2025-04-30,2,0.1,Zoning & Building Code Compliance,0.22
Custom Fixture Detailing,Design custom-built washbasin counters for the hotel suites.,Section Drawing,Low,2025-04-20,1,0.53,Hardscape Plan,0.21
Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Floor Plan,High,2025-04-14,10,0.52,Furniture Layout Plan,0.4
Schematic Design Iteration,Refine the schematic design for feedback from the stakeholders.,3D Model,High,2025-04-12,7,0.36,Permit Drawing,0.37
Interior Material Board Creation,"Prepare a presentation board with fabric, finish, and texture samples.",Interior Layout Plan,Neutral,2025-05-09,1,0.17,Landscape Plan,0.23
Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Material Board,High,2025-05-02,3,0.21,Door & Window Schedule,0.34
Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Partition Plan,Neutral,2025-04-20,2,0.39,3D Render,0.28
Technical Specifications,Compile technical specifications for the construction phase.,Floor Plan,Neutral,2025-04-22,1,0.41,Reflected Ceiling Plan,0.28
MEP Clash Detection,Run a clash detection session between MEP and architectural models.,Door & Window Schedule,Low,2025-05-08,2,0.24,Interior Layout Plan,0.15
Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Schematic Design,Low,2025-05-09,4,0.17,Hardscape Plan,0.13
Interior Material Board Creation,"Prepare a presentation board with fabric, finish, and texture samples.",Others,Low,2025-04-18,1,0.25,Floor Plan,0.15
Furniture Layout Finalization,Plan and position loose and built-in furniture for the co-working office.,Lighting & Fixture Plan,Neutral,2025-04-16,3,0.19,Custom Millwork & Joinery Drawing,0.24
Landscape Design Refinement,Enhance the planting layout for the residential garden.,Technical Specification,High,2025-05-01,3,0.43,Technical Specification,0.69
Technical Specifications,Compile technical specifications for the construction phase.,Finish Schedule,Neutral,2025-05-01,3,0.36,Roof Plan,0.27
Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Furniture Layout Plan,Low,2025-04-12,6,0.24,Door & Window Schedule,0.15
Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Finish Schedule,Neutral,2025-04-24,4,0.25,Elevation Drawing,0.25
3D Massing Model,Create a conceptual massing model to test building envelope limitations.,3D Render,Neutral,2025-04-26,6,0.36,Hardscape Plan,0.27
Custom Fixture Detailing,Design custom-built washbasin counters for the hotel suites.,Schematic Design,Low,2025-04-23,9,0.18,Floor Plan,0.14
Reflected Ceiling Plan Drafting,Draft the reflected ceiling plan including lighting and HVAC elements.,Floor Plan,High,2025-04-16,10,0.3,Roof Plan,0.36
Building Performance Analysis,Assess daylighting and thermal performance using simulation tools.,Virtual Reality,Neutral,2025-05-10,9,0.32,Others,0.26
Sustainability Assessment,Evaluate building materials and systems for LEED compliance.,Material Board,Neutral,2025-04-11,6,0.07,Door & Window Schedule,0.21
General Specification Draft,Prepare general notes and material specifications for tender documents.,Technical Specification,Neutral,2025-05-05,5,0.43,3D Model,0.29
Design Coordination Meeting,Meet with MEP consultants to ensure design integration across disciplines.,Material Board,Low,2025-04-25,3,0.86,General Specification,0.27
Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,3D Model,Neutral,2025-04-23,2,0.14,Permit Drawing,0.23
Furniture Layout Finalization,Plan and position loose and built-in furniture for the co-working office.,Finish Schedule,High,2025-04-18,6,0.26,Elevation Drawing,0.35
Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Floor Plan,High,2025-04-19,3,0.04,Hardscape Plan,0.31
Green Roof Plan Development,Design the planting and drainage system for the green roof.,Schematic Design,High,2025-04-19,1,0.45,Permit Drawing,0.39
General Specification Draft,Prepare general notes and material specifications for tender documents.,Landscape Plan,Low,2025-04-30,1,0.41,Interior Layout Plan,0.18
Reflected Ceiling Plan Drafting,Draft the reflected ceiling plan including lighting and HVAC elements.,Partition Plan,Low,2025-04-12,10,0.15,Site Plan,0.13
Finish Schedule Compilation,"List all interior finishes including floors, walls, and ceilings for the commercial space.",Conceptual Design,Low,2025-04-29,6,0.21,Schematic Design,0.14
Construction Documentation,Compile detailed construction drawings for city permit approval.,Custom Millwork & Joinery Drawing,High,2025-04-26,7,0.27,Partition Plan,0.35
3D Model Development,Create a detailed 3D model for the client’s new residential project.,Elevation Drawing,Low,2025-05-04,9,0.43,Hardscape Plan,0.19
Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Roof Plan,High,2025-04-14,1,0.65,Material Board,0.43
Roof Plan Drawing,"Detail the slope, drainage, and roofing system layout for the warehouse.",Finish Schedule,Low,2025-04-13,6,0.2,Others,0.14
Design Coordination Meeting,Meet with MEP consultants to ensure design integration across disciplines.,3D Model,Neutral,2025-04-30,5,0.03,Construction Document,0.21
Door & Window Schedule Drafting,Create a detailed schedule for all doors and windows in the hospitality project.,Design Development,Neutral,2025-04-17,4,0.08,Landscape Plan,0.22
Reflected Ceiling Plan Drafting,Draft the reflected ceiling plan including lighting and HVAC elements.,Construction Document,Low,2025-04-14,3,0.01,Design Development,0.1
Schematic Design Iteration,Refine the schematic design for feedback from the stakeholders.,Others,Neutral,2025-04-26,3,0.16,Permit Drawing,0.23
Furniture Layout Finalization,Plan and position loose and built-in furniture for the co-working office.,Landscape Plan,Low,2025-04-23,7,0.72,Schematic Design,0.24
Furniture Layout Finalization,Plan and position loose and built-in furniture for the co-working office.,Roof Plan,High,2025-04-11,1,0.41,Technical Specification,0.38
Detail Section Drawing,Draw enlarged sections through complex junctions in the facade.,Furniture Layout Plan,Low,2025-04-18,7,0.29,Design Development,0.16
Detail Section Drawing,Draw enlarged sections through complex junctions in the facade.,3D Model,Low,2025-04-23,7,0.24,General Specification,0.15
Bid Package Compilation,Organize all documents needed for contractor bidding.,General Specification,High,2025-05-06,9,0.39,Reflected Ceiling Plan,0.38
MEP Clash Detection,Run a clash detection session between MEP and architectural models.,Conceptual Design,Low,2025-04-15,2,0.26,Door & Window Schedule,0.15
Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Furniture Layout Plan,High,2025-04-13,7,0.55,Lighting & Fixture Plan,0.41
Furniture Layout Finalization,Plan and position loose and built-in furniture for the co-working office.,Technical Specification,Low,2025-04-14,2,0.2,Floor Plan,0.14
Code Compliance Report,"Prepare a summary document addressing fire, accessibility, and egress codes.",Material Board,High,2025-05-10,8,0.23,Landscape Plan,0.35
Code Compliance Report,"Prepare a summary document addressing fire, accessibility, and egress codes.",Site Plan,Low,2025-04-24,4,0.38,Schematic Design,0.18
Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Furniture Layout Plan,Neutral,2025-04-24,10,0.59,Design Development,0.32
Technical Specifications,Compile technical specifications for the construction phase.,Schematic Design,Low,2025-04-24,1,0.46,3D Render,0.19
Reflected Ceiling Plan Drafting,Draft the reflected ceiling plan including lighting and HVAC elements.,Construction Document,Low,2025-04-17,9,0.23,Landscape Plan,0.15
3D Massing Model,Create a conceptual massing model to test building envelope limitations.,Design Development,High,2025-04-26,1,0.37,Partition Plan,0.37
Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Others,High,2025-04-29,1,0.32,Conceptual Design,0.36
Finish Schedule Compilation,"List all interior finishes including floors, walls, and ceilings for the commercial space.",3D Render,Low,2025-04-14,4,0.21,Door & Window Schedule,0.14
Furniture Layout Finalization,Plan and position loose and built-in furniture for the co-working office.,Lighting & Fixture Plan,Neutral,2025-05-07,2,0.24,Permit Drawing,0.25
Reflected Ceiling Plan Drafting,Draft the reflected ceiling plan including lighting and HVAC elements.,Finish Schedule,Low,2025-04-22,4,0.22,3D Render,0.14
Technical Specifications,Compile technical specifications for the construction phase.,Hardscape Plan,Neutral,2025-04-30,9,0.19,Interior Layout Plan,0.24
3D Model Development,Create a detailed 3D model for the client’s new residential project.,Site Plan,Neutral,2025-05-08,5,0.07,Site Plan,0.51
General Specification Draft,Prepare general notes and material specifications for tender documents.,Reflected Ceiling Plan,High,2025-04-21,7,0.53,Furniture Layout Plan,0.41
Bid Package Compilation,Organize all documents needed for contractor bidding.,Furniture Layout Plan,High,2025-04-29,10,0.05,Material Board,0.31
As-Built Drawing Preparation,Update drawings to reflect actual built conditions post-construction.,Roof Plan,Neutral,2025-04-21,8,0.31,Construction Document,0.26
Zoning Compliance Review,Analyze local zoning regulations to ensure the proposed design aligns with building codes.,Door & Window Schedule,Neutral,2025-04-22,4,0.12,Others,0.22
Accessibility Audit,Review floor plans for compliance with accessibility standards.,Technical Specification,Low,2025-04-26,4,0.42,3D Model,0.18
Finish Schedule Compilation,"List all interior finishes including floors, walls, and ceilings for the commercial space.",Construction Document,Low,2025-04-18,2,0.05,Finish Schedule,0.11
3D Model Development,Create a detailed 3D model for the client’s new residential project.,Schematic Design,Low,2025-04-20,5,0.09,Door & Window Schedule,0.12
Furniture Layout Finalization,Plan and position loose and built-in furniture for the co-working office.,Elevation Drawing,Neutral,2025-04-20,2,0.04,Partition Plan,0.21
Virtual Reality Walkthrough,Develop an immersive VR experience for client presentation of the office interior.,3D Model,Low,2025-05-08,7,0.09,Interior Layout Plan,0.12
Accessibility Audit,Review floor plans for compliance with accessibility standards.,Others,High,2025-04-26,7,0.25,Interior Layout Plan,0.35
Door & Window Schedule Drafting,Create a detailed schedule for all doors and windows in the hospitality project.,Finish Schedule,High,2025-04-15,3,0.42,Hardscape Plan,0.38
Landscape Design Refinement,Enhance the planting layout for the residential garden.,Design Development,Neutral,2025-04-13,8,0.36,Elevation Drawing,0.27
Schematic Design Iteration,Refine the schematic design for feedback from the stakeholders.,Hardscape Plan,Neutral,2025-04-19,7,0.16,Site Plan,0.23
Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Others,High,2025-04-13,9,0.27,General Specification,0.35
Finish Schedule Compilation,"List all interior finishes including floors, walls, and ceilings for the commercial space.",3D Model,High,2025-04-21,1,0.03,Roof Plan,0.31
Door & Window Schedule Drafting,Create a detailed schedule for all doors and windows in the hospitality project.,Custom Millwork & Joinery Drawing,Neutral,2025-04-28,5,0.29,Site Plan,0.26
Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Section Drawing,Low,2025-04-17,1,0.5,3D Model,0.2
Green Roof Plan Development,Design the planting and drainage system for the green roof.,Material Board,Low,2025-04-14,9,0.19,Site Plan,0.14
Partition Plan Finalization,Define internal partitioning layouts for the healthcare facility.,Interior Layout Plan,Low,2025-04-26,7,0.36,Material Board,0.17
Roof Plan Drawing,"Detail the slope, drainage, and roofing system layout for the warehouse.",Reflected Ceiling Plan,Low,2025-04-18,10,0.24,Conceptual Design,0.15
Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Elevation Drawing,Neutral,2025-04-26,5,0.16,Finish Schedule,0.23
Schematic Design Iteration,Refine the schematic design for feedback from the stakeholders.,Furniture Layout Plan,Neutral,2025-05-04,2,0.58,Reflected Ceiling Plan,0.32
Roof Plan Drawing,"Detail the slope, drainage, and roofing system layout for the warehouse.",Permit Drawing,Low,2025-04-28,4,0.49,Furniture Layout Plan,0.2
Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Hardscape Plan,High,2025-05-10,8,0.5,Reflected Ceiling Plan,0.4
Sustainability Assessment,Evaluate building materials and systems for LEED compliance.,Hardscape Plan,Low,2025-04-11,3,0.4,Hardscape Plan,0.48
Interior Material Board Creation,"Prepare a presentation board with fabric, finish, and texture samples.",Construction Document,High,2025-04-17,10,0.35,Virtual Reality,0.37
Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Lighting & Fixture Plan,Neutral,2025-04-25,5,0.22,Elevation Drawing,0.24
Construction Site Visit,Visit the site to verify dimensions before construction begins.,Site Plan,Neutral,2025-05-06,2,0.11,Site Plan,0.52
Door & Window Schedule Drafting,Create a detailed schedule for all doors and windows in the hospitality project.,Lighting & Fixture Plan,High,2025-04-16,5,0.22,Landscape Plan,0.34
MEP Clash Detection,Run a clash detection session between MEP and architectural models.,Furniture Layout Plan,Neutral,2025-05-02,5,0.15,General Specification,0.23
Permit Drawing Submission,Prepare and submit permit drawings for approval.,Hardscape Plan,Neutral,2025-04-14,5,0.39,Material Board,0.28
Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Hardscape Plan,Neutral,2025-05-10,4,0.24,Conceptual Design,0.25
Bid Package Compilation,Organize all documents needed for contractor bidding.,Virtual Reality,Low,2025-04-26,3,0.16,3D Model,0.13
Furniture Layout Finalization,Plan and position loose and built-in furniture for the co-working office.,Section Drawing,High,2025-05-10,10,0.21,Landscape Plan,0.34
As-Built Drawing Preparation,Update drawings to reflect actual built conditions post-construction.,3D Render,Low,2025-05-01,9,0.37,3D Render,0.47
Technical Specifications,Compile technical specifications for the construction phase.,Reflected Ceiling Plan,Low,2025-04-23,7,0.06,Zoning & Building Code Compliance,0.11
Construction Documentation,Compile detailed construction drawings for city permit approval.,Others,Low,2025-05-08,9,0.23,Elevation Drawing,0.15
Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Schematic Design,High,2025-04-15,1,0.5,Custom Millwork & Joinery Drawing,0.4
Interior Material Board Creation,"Prepare a presentation board with fabric, finish, and texture samples.",Hardscape Plan,High,2025-05-10,6,0.34,Custom Millwork & Joinery Drawing,0.37
Door & Window Schedule Drafting,Create a detailed schedule for all doors and windows in the hospitality project.,Lighting & Fixture Plan,High,2025-05-03,7,0.04,Landscape Plan,0.31
Reflected Ceiling Plan Drafting,Draft the reflected ceiling plan including lighting and HVAC elements.,Permit Drawing,Low,2025-05-01,4,0.25,Site Plan,0.15
As-Built Drawing Preparation,Update drawings to reflect actual built conditions post-construction.,Floor Plan,High,2025-05-03,4,0.14,Floor Plan,0.63
Building Performance Analysis,Assess daylighting and thermal performance using simulation tools.,Technical Specification,Low,2025-04-24,2,0.33,Roof Plan,0.17
Structural Coordination,Coordinate with the structural engineer for beam placements.,Zoning & Building Code Compliance,Low,2025-05-06,2,0.16,Construction Document,0.13
Building Performance Analysis,Assess daylighting and thermal performance using simulation tools.,Roof Plan,Low,2025-05-04,6,0.06,Hardscape Plan,0.11
Bid Package Compilation,Organize all documents needed for contractor bidding.,Construction Document,Low,2025-05-09,4,0.18,Construction Document,0.44
Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Furniture Layout Plan,Low,2025-04-14,5,0.13,3D Render,0.13
Door & Window Schedule Drafting,Create a detailed schedule for all doors and windows in the hospitality project.,Construction Document,High,2025-05-10,6,0.43,General Specification,0.39
Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Lighting & Fixture Plan,Neutral,2025-04-11,5,0.13,Finish Schedule,0.23
Sustainability Assessment,Evaluate building materials and systems for LEED compliance.,Zoning & Building Code Compliance,High,2025-04-25,4,0.25,Virtual Reality,0.35
Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Roof Plan,Neutral,2025-04-16,10,0.16,Technical Specification,0.23
Roof Plan Drawing,"Detail the slope, drainage, and roofing system layout for the warehouse.",Door & Window Schedule,Low,2025-05-05,6,0.11,Landscape Plan,0.12
Bid Package Compilation,Organize all documents needed for contractor bidding.,Zoning & Building Code Compliance,Low,2025-04-22,9,0.1,Custom Millwork & Joinery Drawing,0.12
Permit Drawing Submission,Prepare and submit permit drawings for approval.,Zoning & Building Code Compliance,High,2025-05-06,8,0.3,Schematic Design,0.36
Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Lighting & Fixture Plan,High,2025-04-29,10,0.17,Furniture Layout Plan,0.33
Partition Plan Finalization,Define internal partitioning layouts for the healthcare facility.,Lighting & Fixture Plan,High,2025-04-19,4,0.57,Design Development,0.41
Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Finish Schedule,High,2025-04-16,10,0.32,Virtual Reality,0.36
Landscape Design Refinement,Enhance the planting layout for the residential garden.,Section Drawing,Neutral,2025-04-15,5,0.07,Roof Plan,0.21
Design Coordination Meeting,Meet with MEP consultants to ensure design integration across disciplines.,3D Model,High,2025-04-22,9,0.25,3D Model,0.65
3D Model Development,Create a detailed 3D model for the client’s new residential project.,Conceptual Design,Low,2025-04-11,2,0.12,Elevation Drawing,0.12
Bid Package Compilation,Organize all documents needed for contractor bidding.,General Specification,Low,2025-04-28,7,0.38,Finish Schedule,0.18
Construction Site Visit,Visit the site to verify dimensions before construction begins.,Material Board,Neutral,2025-05-01,1,0.19,Technical Specification,0.24
MEP Clash Detection,Run a clash detection session between MEP and architectural models.,Lighting & Fixture Plan,Low,2025-04-25,4,0.25,Hardscape Plan,0.15
Green Roof Plan Development,Design the planting and drainage system for the green roof.,Site Plan,Neutral,2025-04-15,6,0.27,Reflected Ceiling Plan,0.25
Custom Fixture Detailing,Design custom-built washbasin counters for the hotel suites.,Landscape Plan,High,2025-05-04,9,0.26,Furniture Layout Plan,0.35
Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Technical Specification,High,2025-05-08,3,0.2,Schematic Design,0.34
Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Zoning & Building Code Compliance,High,2025-04-13,2,0.27,Permit Drawing,0.35
Permit Drawing Submission,Prepare and submit permit drawings for approval.,Landscape Plan,Neutral,2025-04-12,5,0.35,Door & Window Schedule,0.27
Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Others,Neutral,2025-04-26,6,0.17,Section Drawing,0.23
Schematic Design Iteration,Refine the schematic design for feedback from the stakeholders.,Material Board,Low,2025-05-07,2,0.3,Door & Window Schedule,0.16
Sustainability Assessment,Evaluate building materials and systems for LEED compliance.,Floor Plan,High,2025-04-21,1,0.13,3D Model,0.33
Permit Drawing Submission,Prepare and submit permit drawings for approval.,3D Model,Neutral,2025-05-04,8,0.33,Virtual Reality,0.27
Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Finish Schedule,Low,2025-04-24,2,0.46,Site Plan,0.19
Code Compliance Report,"Prepare a summary document addressing fire, accessibility, and egress codes.",Construction Document,Neutral,2025-05-08,7,0.28,Section Drawing,0.26
Roof Plan Drawing,"Detail the slope, drainage, and roofing system layout for the warehouse.",Landscape Plan,Neutral,2025-04-18,2,0.34,Others,0.27
Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Custom Millwork & Joinery Drawing,High,2025-04-26,1,0.17,Technical Specification,0.33
Render Finalization,Enhance the 3D renders for the commercial building's presentation.,3D Render,High,2025-05-10,5,0.34,Technical Specification,0.37
Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Construction Document,High,2025-04-26,2,0.22,Hardscape Plan,0.34
Bid Package Compilation,Organize all documents needed for contractor bidding.,Technical Specification,Low,2025-05-04,4,0.38,Landscape Plan,0.18
Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Finish Schedule,Low,2025-04-20,1,0.21,General Specification,0.14
Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Design Development,High,2025-05-01,4,0.21,Hardscape Plan,0.34
Door & Window Schedule Drafting,Create a detailed schedule for all doors and windows in the hospitality project.,Custom Millwork & Joinery Drawing,Low,2025-04-26,8,0.3,Landscape Plan,0.16
General Specification Draft,Prepare general notes and material specifications for tender documents.,Elevation Drawing,High,2025-04-14,8,0.03,Custom Millwork & Joinery Drawing,0.31
Construction Documentation,Compile detailed construction drawings for city permit approval.,Construction Document,High,2025-04-24,6,0.13,Conceptual Design,0.33
Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Schematic Design,Low,2025-05-05,8,0.29,3D Model,0.16
Structural Coordination,Coordinate with the structural engineer for beam placements.,General Specification,Neutral,2025-04-19,10,0.42,Design Development,0.28
3D Model Development,Create a detailed 3D model for the client’s new residential project.,Construction Document,Low,2025-04-17,6,0.55,Schematic Design,0.21
3D Model Development,Create a detailed 3D model for the client’s new residential project.,Hardscape Plan,Neutral,2025-05-07,7,0.48,Interior Layout Plan,0.3
Client Feedback Revisions,Implement client-requested changes into the design presentation.,Elevation Drawing,Low,2025-04-11,1,0.22,Custom Millwork & Joinery Drawing,0.14
General Specification Draft,Prepare general notes and material specifications for tender documents.,Reflected Ceiling Plan,Neutral,2025-04-16,6,0.57,General Specification,0.31
Furniture Layout Finalization,Plan and position loose and built-in furniture for the co-working office.,Partition Plan,Low,2025-04-19,8,0.22,Lighting & Fixture Plan,0.14
Door & Window Schedule Drafting,Create a detailed schedule for all doors and windows in the hospitality project.,Floor Plan,High,2025-04-18,2,0.3,Reflected Ceiling Plan,0.36
